net,length_um
memory_stage.dm.ram\[51\]\[31\],7.2µm
memory_stage.dm.ram\[56\]\[8\],7.2µm
_02089_,7.195µm
memory_stage.dm.ram\[14\]\[28\],7.185µm
memory_stage.dm.ram\[30\]\[2\],7.185µm
memory_stage.dm.ram\[61\]\[8\],7.185µm
_01389_,7.18µm
_03025_,7.18µm
_03383_,7.18µm
_03953_,7.18µm
_04060_,7.18µm
_05547_,7.18µm
_06267_,7.18µm
_07169_,7.18µm
memory_stage.dm.ram\[0\]\[22\],7.18µm
_00778_,7.175µm
memory_stage.dm.ram\[9\]\[28\],7.175µm
_00059_,7.165µm
_00378_,7.165µm
_01165_,7.165µm
_02026_,7.165µm
_02037_,7.165µm
_02183_,7.165µm
memory_stage.dm.ram\[39\]\[12\],7.165µm
_07230_,7.16µm
memory_stage.dm.ram\[35\]\[30\],7.16µm
_00308_,7.145µm
_00604_,7.145µm
_00728_,7.145µm
_01171_,7.145µm
_07146_,7.145µm
_02955_,7.14µm
_03288_,7.14µm
_03866_,7.14µm
_03883_,7.14µm
_05948_,7.14µm
_07152_,7.14µm
_00227_,7.135µm
memory_stage.dm.ram\[14\]\[27\],7.135µm
_05972_,7.12µm
_00349_,7.105µm
_00691_,7.105µm
_02380_,7.105µm
_03228_,7.1µm
_03978_,7.1µm
_06846_,7.1µm
_00675_,7.095µm
_00111_,7.085µm
_02330_,7.085µm
_05402_,7.08µm
_05921_,7.08µm
_01114_,7.075µm
memory_stage.dm.ram\[37\]\[18\],7.065µm
memory_stage.dm.ram\[45\]\[19\],7.065µm
_03306_,7.06µm
_03766_,7.06µm
_03939_,7.06µm
_04007_,7.06µm
_04045_,7.06µm
_04418_,7.06µm
_05456_,7.06µm
_05974_,7.06µm
_07310_,7.06µm
_07356_,7.06µm
_07395_,7.06µm
memory_stage.dm.ram\[16\]\[1\],7.06µm
memory_stage.dm.ram\[1\]\[1\],7.06µm
memory_stage.dm.ram\[2\]\[8\],7.06µm
memory_stage.dm.ram\[63\]\[10\],7.06µm
memory_stage.dm.ram\[7\]\[25\],7.06µm
_01990_,7.055µm
memory_stage.dm.ram\[46\]\[28\],7.055µm
_00023_,7.045µm
_00247_,7.045µm
_00333_,7.045µm
_00579_,7.045µm
_00649_,7.045µm
_00920_,7.045µm
_01256_,7.045µm
_02316_,7.045µm
_02476_,7.045µm
_02697_,7.045µm
_02720_,7.045µm
_04432_,7.04µm
_04871_,7.04µm
_00095_,7.025µm
_00174_,7.025µm
_00251_,7.025µm
_00635_,7.025µm
_02103_,7.025µm
_02229_,7.025µm
_00236_,7.015µm
_00114_,7.005µm
_00416_,7.005µm
_02208_,7µm
_00050_,6.985µm
_01181_,6.985µm
_01462_,6.985µm
_05377_,6.98µm
memory_stage.dm.ram\[30\]\[19\],6.98µm
memory_stage.dm.ram\[33\]\[27\],6.98µm
memory_stage.dm.ram\[47\]\[13\],6.98µm
memory_stage.dm.ram\[57\]\[20\],6.98µm
memory_stage.dm.ram\[58\]\[27\],6.98µm
_00612_,6.965µm
memory_stage.dm.ram\[26\]\[23\],6.965µm
_00437_,6.96µm
_00747_,6.96µm
_01418_,6.96µm
_02132_,6.96µm
_02457_,6.96µm
_02573_,6.96µm
_03194_,6.96µm
_04550_,6.96µm
memory_stage.dm.ram\[2\]\[10\],6.96µm
memory_stage.dm.ram\[7\]\[27\],6.96µm
_04537_,6.945µm
_00978_,6.94µm
memory_stage.dm.ram\[25\]\[21\],6.94µm
memory_stage.dm.ram\[27\]\[20\],6.94µm
memory_stage.dm.ram\[43\]\[8\],6.94µm
memory_stage.dm.ram\[50\]\[30\],6.94µm
memory_stage.dm.ram\[60\]\[23\],6.94µm
_00404_,6.935µm
_00022_,6.925µm
_00323_,6.925µm
_00538_,6.925µm
_00748_,6.925µm
_01454_,6.925µm
_01611_,6.925µm
_01665_,6.925µm
_01817_,6.925µm
_02045_,6.925µm
_02261_,6.925µm
_02529_,6.925µm
_02729_,6.925µm
_03667_,6.92µm
_07020_,6.92µm
_01662_,6.905µm
_02554_,6.905µm
_02763_,6.905µm
_03546_,6.9µm
memory_stage.dm.ram\[62\]\[19\],6.9µm
_00080_,6.885µm
_00092_,6.885µm
_00125_,6.885µm
_00166_,6.885µm
_00279_,6.885µm
_00315_,6.885µm
_00407_,6.885µm
_00458_,6.885µm
_00509_,6.885µm
_00780_,6.885µm
_01263_,6.885µm
_02361_,6.885µm
_02372_,6.885µm
_02461_,6.885µm
_02761_,6.885µm
_05986_,6.88µm
memory_stage.dm.ram\[2\]\[11\],6.88µm
memory_stage.dm.ram\[56\]\[7\],6.88µm
_02552_,6.865µm
_07338_,6.86µm
_01622_,6.845µm
_02603_,6.845µm
_06916_,6.845µm
memory_stage.dm.ram\[50\]\[12\],6.84µm
memory_stage.dm.ram\[59\]\[0\],6.84µm
_06288_,6.83µm
_00167_,6.825µm
_00369_,6.825µm
_00415_,6.825µm
_00443_,6.825µm
_00482_,6.825µm
_00934_,6.825µm
_01090_,6.825µm
_01260_,6.825µm
_01999_,6.825µm
_02092_,6.825µm
_02311_,6.825µm
_02333_,6.825µm
_02365_,6.825µm
memory_stage.dm.ram\[63\]\[1\],6.825µm
_02963_,6.82µm
_06869_,6.82µm
_07394_,6.82µm
_00422_,6.815µm
_02286_,6.815µm
_00194_,6.805µm
_02301_,6.805µm
_02395_,6.805µm
_02580_,6.805µm
_06438_,6.8µm
_07359_,6.8µm
em.rd_m\[0\],6.8µm
memory_stage.dm.ram\[18\]\[7\],6.8µm
_00832_,6.785µm
_03527_,6.78µm
_05794_,6.78µm
_07291_,6.78µm
_00354_,6.765µm
_00521_,6.765µm
_00892_,6.765µm
_02007_,6.765µm
memory_stage.dm.ram\[17\]\[21\],6.765µm
memory_stage.dm.ram\[6\]\[11\],6.765µm
_02880_,6.76µm
_03239_,6.76µm
_03665_,6.76µm
_03930_,6.76µm
_05732_,6.76µm
_07162_,6.76µm
_07451_,6.76µm
memory_stage.dm.ram\[51\]\[11\],6.76µm
memory_stage.dm.ram\[5\]\[25\],6.76µm
memory_stage.dm.ram\[53\]\[25\],6.745µm
_04506_,6.74µm
memory_stage.dm.ram\[21\]\[17\],6.74µm
memory_stage.dm.ram\[34\]\[16\],6.74µm
_02188_,6.725µm
_03357_,6.72µm
_03438_,6.72µm
_03574_,6.72µm
_03610_,6.72µm
_07302_,6.72µm
memory_stage.dm.ram\[13\]\[15\],6.72µm
memory_stage.dm.ram\[9\]\[14\],6.715µm
_00162_,6.705µm
_00187_,6.705µm
_00229_,6.705µm
_00284_,6.705µm
_00335_,6.705µm
_00379_,6.705µm
_00386_,6.705µm
_00421_,6.705µm
_00556_,6.705µm
_00561_,6.705µm
_00622_,6.705µm
_00625_,6.705µm
_00988_,6.705µm
_01054_,6.705µm
_01056_,6.705µm
_01452_,6.705µm
_01815_,6.705µm
_02014_,6.705µm
_02043_,6.705µm
_02170_,6.705µm
_02211_,6.705µm
_02213_,6.705µm
_02252_,6.705µm
_02364_,6.705µm
_02456_,6.705µm
_02460_,6.705µm
_02540_,6.705µm
_02563_,6.705µm
_02576_,6.705µm
_02705_,6.705µm
_02791_,6.705µm
_04470_,6.705µm
_00348_,6.695µm
_00133_,6.685µm
_00367_,6.685µm
_00631_,6.685µm
_00648_,6.685µm
_00678_,6.685µm
_01053_,6.685µm
_01627_,6.685µm
_01843_,6.685µm
_01996_,6.685µm
_02182_,6.685µm
_02665_,6.685µm
_02706_,6.685µm
_02768_,6.685µm
_03064_,6.66µm
_03377_,6.66µm
_04405_,6.66µm
_06902_,6.66µm
memory_stage.dm.ram\[46\]\[7\],6.65µm
_00178_,6.645µm
_00303_,6.645µm
_00673_,6.645µm
_00818_,6.645µm
_01822_,6.645µm
_01907_,6.645µm
_01920_,6.645µm
_02051_,6.645µm
_02062_,6.645µm
_02086_,6.645µm
_02128_,6.645µm
_02155_,6.645µm
_02638_,6.645µm
_02711_,6.645µm
_02924_,6.64µm
_05511_,6.64µm
_06098_,6.64µm
_06822_,6.64µm
_06876_,6.64µm
_06895_,6.64µm
_06915_,6.64µm
_07376_,6.64µm
memory_stage.dm.ram\[1\]\[11\],6.64µm
memory_stage.dm.ram\[8\]\[28\],6.64µm
_01848_,6.625µm
memory_stage.dm.ram\[44\]\[24\],6.62µm
memory_stage.dm.ram\[52\]\[14\],6.62µm
_01836_,6.615µm
_02608_,6.615µm
_07001_,6.615µm
memory_stage.dm.ram\[15\]\[15\],6.605µm
memory_stage.dm.ram\[30\]\[16\],6.605µm
_03006_,6.6µm
_03432_,6.6µm
_03508_,6.6µm
_03886_,6.6µm
_04192_,6.6µm
_04289_,6.6µm
_04329_,6.6µm
_04673_,6.6µm
_04827_,6.6µm
_05248_,6.6µm
_05831_,6.6µm
_06037_,6.6µm
_06672_,6.6µm
_07147_,6.6µm
memory_stage.dm.ram\[11\]\[6\],6.6µm
memory_stage.dm.ram\[19\]\[17\],6.6µm
memory_stage.dm.ram\[1\]\[15\],6.6µm
memory_stage.dm.ram\[23\]\[22\],6.6µm
_03547_,6.58µm
_07098_,6.58µm
_00211_,6.565µm
_00291_,6.565µm
_01051_,6.565µm
_02039_,6.565µm
_02704_,6.565µm
_00848_,6.54µm
_01572_,6.54µm
_04334_,6.54µm
_07268_,6.54µm
memory_stage.dm.ram\[45\]\[16\],6.54µm
_00477_,6.525µm
_02642_,6.525µm
memory_stage.dm.ram\[14\]\[12\],6.525µm
_03075_,6.52µm
_03560_,6.52µm
_04648_,6.52µm
_06953_,6.52µm
memory_stage.dm.ram\[16\]\[11\],6.52µm
memory_stage.dm.ram\[3\]\[15\],6.52µm
memory_stage.dm.ram\[40\]\[7\],6.52µm
memory_stage.dm.ram\[41\]\[31\],6.52µm
memory_stage.dm.ram\[46\]\[29\],6.52µm
memory_stage.dm.ram\[51\]\[26\],6.52µm
memory_stage.dm.ram\[59\]\[11\],6.52µm
memory_stage.dm.ram\[17\]\[17\],6.515µm
_00248_,6.5µm
_00890_,6.5µm
_01084_,6.5µm
_01268_,6.5µm
_01421_,6.5µm
_05165_,6.5µm
_06581_,6.5µm
_05622_,6.48µm
_01422_,6.475µm
_00049_,6.465µm
_00145_,6.465µm
_00232_,6.465µm
_00287_,6.465µm
_00370_,6.465µm
_00389_,6.465µm
_00469_,6.465µm
_00508_,6.465µm
_00574_,6.465µm
_00681_,6.465µm
_00935_,6.465µm
_01795_,6.465µm
_02030_,6.465µm
_02077_,6.465µm
_02125_,6.465µm
_02181_,6.465µm
_02318_,6.465µm
_02405_,6.465µm
_02511_,6.465µm
_02678_,6.465µm
_02693_,6.465µm
_05613_,6.46µm
_01005_,6.455µm
_06806_,6.44µm
_00032_,6.425µm
_00377_,6.425µm
_00533_,6.425µm
_00711_,6.425µm
_00788_,6.425µm
_00979_,6.425µm
_01003_,6.425µm
_01820_,6.425µm
_02108_,6.425µm
_02516_,6.425µm
_02522_,6.425µm
_00184_,6.42µm
_00615_,6.42µm
_03720_,6.42µm
_04606_,6.42µm
_05649_,6.42µm
memory_stage.dm.ram\[33\]\[22\],6.42µm
memory_stage.dm.ram\[52\]\[2\],6.42µm
memory_stage.dm.ram\[34\]\[28\],6.405µm
_02703_,6.4µm
memory_stage.dm.ram\[28\]\[23\],6.4µm
memory_stage.dm.ram\[3\]\[14\],6.4µm
memory_stage.dm.ram\[49\]\[21\],6.4µm
memory_stage.dm.ram\[58\]\[11\],6.4µm
memory_stage.dm.ram\[7\]\[0\],6.4µm
_02969_,6.38µm
_06905_,6.38µm
memory_stage.dm.ram\[1\]\[5\],6.38µm
memory_stage.dm.ram\[32\]\[23\],6.38µm
memory_stage.dm.ram\[32\]\[25\],6.38µm
memory_stage.dm.ram\[43\]\[12\],6.38µm
memory_stage.dm.ram\[48\]\[8\],6.38µm
memory_stage.dm.ram\[4\]\[19\],6.38µm
memory_stage.dm.ram\[4\]\[21\],6.38µm
memory_stage.dm.ram\[59\]\[23\],6.38µm
_00087_,6.375µm
_06984_,6.37µm
_00014_,6.365µm
_00047_,6.365µm
_00060_,6.365µm
_00073_,6.365µm
_00102_,6.365µm
_00107_,6.365µm
_00120_,6.365µm
_00171_,6.365µm
_00180_,6.365µm
_00182_,6.365µm
_00196_,6.365µm
_00206_,6.365µm
_00253_,6.365µm
_00263_,6.365µm
_00299_,6.365µm
_00301_,6.365µm
_00302_,6.365µm
_00316_,6.365µm
_00318_,6.365µm
_00331_,6.365µm
_00358_,6.365µm
_00535_,6.365µm
_00559_,6.365µm
_00584_,6.365µm
_00593_,6.365µm
_00599_,6.365µm
_00630_,6.365µm
_00729_,6.365µm
_00982_,6.365µm
_01065_,6.365µm
_01087_,6.365µm
_01124_,6.365µm
_01128_,6.365µm
_01168_,6.365µm
_01257_,6.365µm
_01272_,6.365µm
_01425_,6.365µm
_01439_,6.365µm
_01463_,6.365µm
_01615_,6.365µm
_01796_,6.365µm
_01812_,6.365µm
_01842_,6.365µm
_02003_,6.365µm
_02060_,6.365µm
_02073_,6.365µm
_02082_,6.365µm
_02115_,6.365µm
_02147_,6.365µm
_02153_,6.365µm
_02179_,6.365µm
_02180_,6.365µm
_02196_,6.365µm
_02216_,6.365µm
_02228_,6.365µm
_02234_,6.365µm
_02266_,6.365µm
_02268_,6.365µm
_02273_,6.365µm
_02290_,6.365µm
_02317_,6.365µm
_02358_,6.365µm
_02377_,6.365µm
_02383_,6.365µm
_02400_,6.365µm
_02412_,6.365µm
_02413_,6.365µm
_02464_,6.365µm
_02489_,6.365µm
_02509_,6.365µm
_02530_,6.365µm
_02548_,6.365µm
_02589_,6.365µm
_02594_,6.365µm
_02631_,6.365µm
_02637_,6.365µm
_02696_,6.365µm
_02731_,6.365µm
_02751_,6.365µm
_02758_,6.365µm
_02784_,6.365µm
memory_stage.dm.ram\[45\]\[28\],6.365µm
memory_stage.dm.ram\[50\]\[20\],6.365µm
memory_stage.dm.ram\[57\]\[28\],6.355µm
_00259_,6.345µm
_01023_,6.345µm
_01139_,6.345µm
_01633_,6.345µm
_02577_,6.345µm
memory_stage.dm.ram\[30\]\[18\],6.34µm
_00238_,6.335µm
_01069_,6.325µm
_02224_,6.325µm
_03349_,6.32µm
_05184_,6.32µm
_01450_,6.305µm
_02063_,6.305µm
_02321_,6.305µm
_02776_,6.305µm
memory_stage.dm.ram\[42\]\[12\],6.305µm
_03910_,6.3µm
_05474_,6.3µm
_05950_,6.3µm
_06197_,6.3µm
_07281_,6.3µm
memory_stage.dm.ram\[26\]\[27\],6.3µm
memory_stage.dm.ram\[41\]\[28\],6.3µm
memory_stage.dm.ram\[1\]\[28\],6.28µm
memory_stage.dm.ram\[25\]\[17\],6.28µm
memory_stage.dm.ram\[32\]\[22\],6.28µm
memory_stage.dm.ram\[37\]\[12\],6.28µm
memory_stage.dm.ram\[37\]\[8\],6.28µm
memory_stage.dm.ram\[46\]\[25\],6.28µm
memory_stage.dm.ram\[56\]\[16\],6.28µm
_02187_,6.275µm
_02369_,6.275µm
_01470_,6.265µm
_01878_,6.265µm
_03100_,6.26µm
_03152_,6.26µm
_03381_,6.26µm
_03424_,6.26µm
_03448_,6.26µm
_03618_,6.26µm
_03731_,6.26µm
_03732_,6.26µm
_04270_,6.26µm
_04457_,6.26µm
_05988_,6.26µm
_06246_,6.26µm
_06773_,6.26µm
_06898_,6.26µm
_07181_,6.26µm
_07240_,6.26µm
de.pc_d\[0\],6.26µm
memory_stage.dm.ram\[57\]\[7\],6.26µm
memory_stage.dm.ram\[63\]\[29\],6.26µm
_01420_,6.255µm
memory_stage.dm.ram\[45\]\[11\],6.255µm
_00609_,6.245µm
_02277_,6.245µm
_06928_,6.24µm
swap_tgrp,6.23µm
_00212_,6.225µm
_00307_,6.225µm
_00607_,6.225µm
_00735_,6.225µm
_00865_,6.225µm
_00962_,6.225µm
_01061_,6.225µm
_01169_,6.225µm
_01939_,6.225µm
_01985_,6.225µm
_02120_,6.225µm
_02145_,6.225µm
_02238_,6.225µm
_02462_,6.225µm
_02498_,6.225µm
_02582_,6.225µm
_03069_,6.2µm
_03362_,6.2µm
_04302_,6.2µm
_07262_,6.2µm
memory_stage.dm.ram\[46\]\[11\],6.2µm
memory_stage.dm.ram\[54\]\[12\],6.2µm
_04128_,6.19µm
_00099_,6.185µm
_00126_,6.185µm
_00201_,6.185µm
_00462_,6.185µm
_00646_,6.185µm
_01225_,6.185µm
_02054_,6.185µm
_02214_,6.185µm
_02302_,6.185µm
_02428_,6.185µm
_02429_,6.185µm
_02543_,6.185µm
_00542_,6.18µm
_03052_,6.18µm
_03499_,6.18µm
_04004_,6.18µm
_04589_,6.18µm
_04681_,6.18µm
_06646_,6.18µm
_06825_,6.18µm
_07032_,6.18µm
_07068_,6.18µm
_07261_,6.18µm
_01930_,6.165µm
_02088_,6.165µm
_02225_,6.165µm
_01132_,6.16µm
_06044_,6.16µm
_00105_,6.155µm
_00170_,6.155µm
_06200_,6.145µm
memory_stage.dm.ram\[33\]\[8\],6.145µm
_02926_,6.14µm
_03498_,6.14µm
_03569_,6.14µm
_06068_,6.14µm
_06394_,6.14µm
_07069_,6.14µm
memory_stage.dm.ram\[20\]\[30\],6.14µm
memory_stage.dm.ram\[35\]\[2\],6.14µm
memory_stage.dm.ram\[36\]\[17\],6.14µm
memory_stage.dm.ram\[36\]\[3\],6.14µm
memory_stage.dm.ram\[3\]\[7\],6.14µm
memory_stage.dm.ram\[60\]\[22\],6.14µm
mw.read_data_w\[8\],6.14µm
_00493_,6.135µm
_00752_,6.135µm
_02588_,6.135µm
_06973_,6.12µm
_00033_,6.105µm
_00076_,6.105µm
_00117_,6.105µm
_00246_,6.105µm
_00932_,6.105µm
_00939_,6.105µm
_01445_,6.105µm
_00151_,6.085µm
_02777_,6.085µm
_00496_,6.08µm
_02024_,6.08µm
_06422_,6.08µm
_06680_,6.08µm
_00588_,6.065µm
_01954_,6.065µm
_02093_,6.065µm
memory_stage.dm.ram\[61\]\[1\],6.065µm
_04440_,6.06µm
_05214_,6.06µm
_07008_,6.06µm
_07259_,6.06µm
memory_stage.dm.ram\[26\]\[12\],6.06µm
memory_stage.dm.ram\[43\]\[13\],6.06µm
memory_stage.dm.ram\[52\]\[22\],6.06µm
memory_stage.dm.ram\[59\]\[28\],6.06µm
_00108_,6.04µm
_00449_,6.04µm
_00636_,6.04µm
_00889_,6.04µm
_00915_,6.04µm
_00944_,6.04µm
_01011_,6.04µm
_01923_,6.04µm
_01933_,6.04µm
_02260_,6.04µm
_02506_,6.04µm
_02513_,6.04µm
_04184_,6.04µm
memory_stage.dm.ram\[44\]\[10\],6.04µm
_02583_,6.035µm
memory_stage.dm.ram\[33\]\[31\],6.02µm
_02055_,6.015µm
memory_stage.dm.ram\[41\]\[17\],6.015µm
_00072_,6.005µm
_00193_,6.005µm
_00210_,6.005µm
_00488_,6.005µm
_00573_,6.005µm
_00779_,6.005µm
_00827_,6.005µm
_00902_,6.005µm
_01026_,6.005µm
_01667_,6.005µm
_02146_,6.005µm
_02328_,6.005µm
_02366_,6.005µm
_02709_,6.005µm
_02769_,6.005µm
_02667_,5.985µm
_00071_,5.965µm
_00217_,5.965µm
_00391_,5.965µm
_00911_,5.965µm
_01043_,5.965µm
_01227_,5.965µm
_02512_,5.965µm
_02713_,5.965µm
_07391_,5.965µm
_04604_,5.96µm
memory_stage.dm.ram\[1\]\[12\],5.96µm
memory_stage.dm.ram\[26\]\[20\],5.96µm
memory_stage.dm.ram\[27\]\[18\],5.96µm
memory_stage.dm.ram\[42\]\[31\],5.96µm
_05544_,5.95µm
memory_stage.dm.ram\[13\]\[13\],5.945µm
memory_stage.dm.ram\[5\]\[19\],5.945µm
_05405_,5.94µm
_04110_,5.92µm
memory_stage.dm.ram\[22\]\[28\],5.92µm
memory_stage.dm.ram\[59\]\[2\],5.92µm
_04590_,5.9µm
_04667_,5.9µm
memory_stage.dm.ram\[54\]\[28\],5.9µm
_00278_,5.895µm
_01676_,5.895µm
_05225_,5.895µm
_02113_,5.885µm
_02271_,5.865µm
_04437_,5.86µm
_05551_,5.86µm
_07239_,5.86µm
de.pc_plus4_d\[2\],5.86µm
pcw[7],5.85µm
result[10],5.85µm
_01284_,5.845µm
_01612_,5.845µm
_01631_,5.845µm
_02275_,5.845µm
memory_stage.dm.ram\[54\]\[11\],5.845µm
memory_stage.dm.ram\[57\]\[21\],5.845µm
_03011_,5.84µm
_03055_,5.84µm
_03528_,5.84µm
_03543_,5.84µm
_04313_,5.84µm
_04528_,5.84µm
_05884_,5.84µm
_06017_,5.84µm
_06445_,5.84µm
_06463_,5.84µm
_06832_,5.84µm
_07335_,5.84µm
de.imm_val_e\[5\],5.84µm
memory_stage.dm.ram\[10\]\[29\],5.84µm
memory_stage.dm.ram\[28\]\[8\],5.84µm
memory_stage.dm.ram\[4\]\[12\],5.84µm
memory_stage.dm.ram\[52\]\[21\],5.84µm
memory_stage.dm.ram\[51\]\[24\],5.825µm
memory_stage.dm.ram\[26\]\[15\],5.82µm
memory_stage.dm.ram\[2\]\[0\],5.82µm
memory_stage.dm.ram\[40\]\[2\],5.82µm
memory_stage.dm.ram\[52\]\[3\],5.82µm
memory_stage.dm.ram\[60\]\[18\],5.82µm
_00975_,5.815µm
memory_stage.dm.ram\[62\]\[21\],5.815µm
_01223_,5.805µm
_01314_,5.805µm
_02888_,5.8µm
_02951_,5.8µm
_03249_,5.8µm
_04072_,5.8µm
_04671_,5.8µm
_05410_,5.8µm
_06096_,5.8µm
_06142_,5.8µm
_06498_,5.8µm
_06821_,5.8µm
_07090_,5.8µm
memory_stage.dm.ram\[52\]\[5\],5.8µm
rst,5.8µm
_06750_,5.78µm
_00011_,5.765µm
_00056_,5.765µm
_00084_,5.765µm
_00091_,5.765µm
_00146_,5.765µm
_00160_,5.765µm
_00163_,5.765µm
_00186_,5.765µm
_00536_,5.765µm
_00884_,5.765µm
_00887_,5.765µm
_00907_,5.765µm
_00938_,5.765µm
_00966_,5.765µm
_01028_,5.765µm
_01030_,5.765µm
_01104_,5.765µm
_01146_,5.765µm
_01986_,5.765µm
_02312_,5.765µm
_02535_,5.765µm
memory_stage.dm.ram\[54\]\[1\],5.745µm
_03111_,5.74µm
_03211_,5.74µm
_04114_,5.74µm
_04579_,5.74µm
_06547_,5.74µm
memory_stage.dm.ram\[32\]\[6\],5.74µm
_05973_,5.735µm
_00147_,5.725µm
_00505_,5.725µm
_00914_,5.725µm
_01021_,5.725µm
_02756_,5.725µm
_06918_,5.725µm
_02834_,5.72µm
_02901_,5.72µm
_03278_,5.72µm
_04534_,5.72µm
_04609_,5.72µm
_05223_,5.72µm
_06573_,5.72µm
memory_stage.dm.ram\[14\]\[3\],5.72µm
_00385_,5.7µm
_00734_,5.7µm
_01127_,5.7µm
_01459_,5.695µm
_03213_,5.68µm
_03484_,5.68µm
_03564_,5.68µm
_03659_,5.68µm
_03692_,5.68µm
_03774_,5.68µm
_03881_,5.68µm
_04336_,5.68µm
_04588_,5.68µm
_05693_,5.68µm
_05699_,5.68µm
_05924_,5.68µm
_06075_,5.68µm
_06535_,5.68µm
_06621_,5.68µm
_06889_,5.68µm
_06975_,5.68µm
_07043_,5.68µm
_07299_,5.68µm
_07316_,5.68µm
_07381_,5.68µm
_07382_,5.68µm
memory_stage.dm.ram\[0\]\[23\],5.68µm
memory_stage.dm.ram\[27\]\[22\],5.68µm
memory_stage.dm.ram\[30\]\[6\],5.68µm
_00041_,5.675µm
_00576_,5.675µm
_00598_,5.675µm
_00384_,5.665µm
_00016_,5.645µm
_00254_,5.645µm
_01081_,5.645µm
_01172_,5.645µm
_02105_,5.645µm
_02212_,5.645µm
_02609_,5.645µm
_02326_,5.64µm
_02347_,5.625µm
_00252_,5.605µm
_00759_,5.605µm
memory_stage.dm.ram\[27\]\[21\],5.605µm
memory_stage.dm.ram\[41\]\[16\],5.6µm
_00841_,5.58µm
_00921_,5.58µm
_00971_,5.58µm
_01039_,5.58µm
_01424_,5.58µm
_02558_,5.58µm
_02684_,5.58µm
_02738_,5.58µm
_02764_,5.58µm
_02772_,5.58µm
_06860_,5.58µm
_06939_,5.58µm
memory_stage.dm.ram\[60\]\[11\],5.58µm
memory_stage.dm.ram\[27\]\[24\],5.575µm
memory_stage.dm.ram\[31\]\[17\],5.575µm
memory_stage.dm.ram\[62\]\[22\],5.575µm
memory_stage.dm.ram\[9\]\[26\],5.575µm
_02788_,5.555µm
_00019_,5.545µm
_00368_,5.545µm
_00916_,5.545µm
_00947_,5.545µm
_01015_,5.545µm
_01055_,5.545µm
_01100_,5.545µm
_01131_,5.545µm
_01444_,5.545µm
_01457_,5.545µm
_02008_,5.545µm
_02009_,5.545µm
_02248_,5.545µm
_02285_,5.545µm
_02336_,5.545µm
_02411_,5.545µm
_02439_,5.545µm
_02446_,5.545µm
_02480_,5.545µm
_02708_,5.545µm
_02722_,5.545µm
memory_stage.dm.ram\[25\]\[25\],5.54µm
_01997_,5.525µm
pcw[16],5.51µm
_00528_,5.505µm
_00669_,5.505µm
_00731_,5.505µm
_00918_,5.505µm
_01004_,5.505µm
_02118_,5.505µm
_02156_,5.505µm
_02158_,5.505µm
_02437_,5.505µm
_02515_,5.505µm
_02635_,5.505µm
_00753_,5.5µm
_02210_,5.5µm
_02964_,5.5µm
_06123_,5.5µm
memory_stage.dm.ram\[16\]\[15\],5.5µm
memory_stage.dm.ram\[2\]\[6\],5.5µm
memory_stage.dm.ram\[40\]\[18\],5.5µm
memory_stage.dm.ram\[43\]\[15\],5.485µm
memory_stage.dm.ram\[62\]\[29\],5.485µm
_06561_,5.48µm
_06727_,5.48µm
memory_stage.dm.ram\[8\]\[11\],5.48µm
_00131_,5.475µm
_00632_,5.475µm
_01108_,5.475µm
_01271_,5.475µm
_02078_,5.475µm
memory_stage.dm.ram\[57\]\[18\],5.475µm
_06204_,5.46µm
mw.read_data_w\[11\],5.46µm
_01162_,5.445µm
memory_stage.dm.ram\[63\]\[17\],5.445µm
_00097_,5.435µm
_00188_,5.435µm
_02469_,5.435µm
_02553_,5.435µm
_00069_,5.425µm
_00474_,5.425µm
_00906_,5.425µm
_01130_,5.425µm
_02327_,5.425µm
_02488_,5.425µm
_02658_,5.425µm
_00544_,5.405µm
_07082_,5.4µm
memory_stage.dm.ram\[22\]\[25\],5.385µm
_03117_,5.38µm
_03199_,5.38µm
_03709_,5.38µm
_04017_,5.38µm
_04102_,5.38µm
_04136_,5.38µm
_04139_,5.38µm
_04372_,5.38µm
_05533_,5.38µm
_06078_,5.38µm
_06125_,5.38µm
_07283_,5.38µm
memory_stage.dm.ram\[10\]\[11\],5.38µm
memory_stage.dm.ram\[29\]\[0\],5.38µm
memory_stage.dm.ram\[30\]\[11\],5.38µm
memory_stage.dm.ram\[39\]\[9\],5.38µm
memory_stage.dm.ram\[46\]\[2\],5.38µm
memory_stage.dm.ram\[57\]\[6\],5.38µm
memory_stage.dm.ram\[61\]\[21\],5.38µm
delaynet_1_clk,5.38µm
_00009_,5.36µm
_02790_,5.36µm
_07227_,5.36µm
memory_stage.dm.ram\[12\]\[11\],5.36µm
memory_stage.dm.ram\[29\]\[3\],5.36µm
memory_stage.dm.ram\[37\]\[10\],5.36µm
memory_stage.dm.ram\[37\]\[15\],5.36µm
memory_stage.dm.ram\[37\]\[29\],5.36µm
_02744_,5.345µm
_03284_,5.34µm
_03717_,5.34µm
_03765_,5.34µm
_03786_,5.34µm
_04013_,5.34µm
_04061_,5.34µm
_04144_,5.34µm
_04602_,5.34µm
_04880_,5.34µm
_05422_,5.34µm
_05857_,5.34µm
_06085_,5.34µm
_06387_,5.34µm
_06554_,5.34µm
_06759_,5.34µm
_07044_,5.34µm
_07253_,5.34µm
_07264_,5.34µm
_07265_,5.34µm
_07372_,5.34µm
memory_stage.dm.ram\[54\]\[2\],5.34µm
